,Data,Day_of_Week,Location,Month_Name,O3,Pr,RH,T,VOC,index,NO2,PM10-h,PM2.5-h
0,2022-05-31 22:00:00,Tuesday,ARGINONE,May,26.1,1013.9,75.0,22.5,82.4213,36573,0.0,12.7,12.7
1,2022-05-31 22:00:00,Tuesday,COCOMARO,May,33.6,1014.4,76.7,21.7,704.2225,67337,0.0,13.6,13.6
2,2022-05-31 22:00:00,Tuesday,PORTACATENA,May,54.5,1013.7,76.9,22.5,69.6739,28198,0.0,12.2,12.2
3,2022-05-31 22:00:00,Tuesday,MODENA,May,53.6,1014.7,73.1,23.0,1019.8532,20526,2.5,10.6,10.6
4,2022-05-31 22:00:00,Tuesday,MOSTI,May,57.5,1013.9,73.9,22.4,557.4582,52972,12.0,13.9,13.9
5,2022-05-31 22:00:00,Tuesday,BOLOGNA,May,25.6,1013.6,76.9,21.3,182.1982,60530,0.0,12.9,12.9
6,2022-05-31 22:00:00,Tuesday,POROTTO,May,65.4,1014.1,71.1,22.4,484.3686,10732,0.0,12.4,12.4
7,2022-05-31 22:00:00,Tuesday,CORSOISONZO,May,60.3,1014.5,75.0,23.2,734.4674,44401,0.0,12.7,12.6
8,2022-05-31 22:00:00,Tuesday,BARCO,May,43.7,1013.9,78.7,21.8,411.6924,5199,3.8,11.1,11.1
9,2022-05-31 22:00:00,Tuesday,CUSFERRARA,May,43.4,1014.1,81.4,21.1,319.919,84317,29.8,0.0,0.0
10,2022-05-31 22:00:00,Tuesday,PONTELAGOSCURO,May,36.7,1014.2,72.9,22.3,375.1964,91358,0.0,10.9,10.9
11,2022-05-31 22:00:00,Tuesday,VILLAFULVIA,May,45.7,1014.0,79.2,21.7,243.0839,75687,0.0,11.4,11.4
12,2022-05-31 23:00:00,Tuesday,MOSTI,May,47.4,1013.8,75.8,22.0,583.6669,52973,5.5,19.0,19.0
13,2022-05-31 23:00:00,Tuesday,POROTTO,May,51.6,1014.0,72.6,21.8,486.9312,10731,13.3,16.9,16.7
14,2022-05-31 23:00:00,Tuesday,COCOMARO,May,25.7,1014.3,78.7,20.9,700.248,67338,0.0,14.0,14.0
15,2022-05-31 23:00:00,Tuesday,ARGINONE,May,21.9,1013.8,78.0,21.6,82.6649,36574,0.0,16.7,16.7
16,2022-05-31 23:00:00,Tuesday,PORTACATENA,May,52.9,1013.6,79.2,22.2,69.7378,28199,0.0,17.0,16.8
17,2022-05-31 23:00:00,Tuesday,BARCO,May,42.7,1013.7,81.6,21.4,420.5347,5200,5.9,14.9,14.8
18,2022-05-31 23:00:00,Tuesday,CUSFERRARA,May,51.8,1014.0,84.7,20.7,333.835,84318,28.8,0.0,0.0
19,2022-05-31 23:00:00,Tuesday,VILLAFULVIA,May,32.8,1013.9,81.5,21.1,247.0451,75688,0.0,14.3,14.2
