Data osservazione,Location,NO2,PM10-h,PM2.5-h
2021-09-10 09:00:00+00:00,BOLOGNA,0.0,8.1,8.1
2021-09-10 10:00:00+00:00,MOSTI,0.0,7.3,7.3
2021-09-10 11:00:00+00:00,MOSTI,0.0,7.3,7.3
2021-09-10 12:00:00+00:00,MODENA,0.0,7.1,7.1
2021-09-10 13:00:00+00:00,MODENA,0.0,6.9,6.9
2021-09-10 14:00:00+00:00,BARCO,11.2,7.1,7.1
2021-09-10 15:00:00+00:00,BARCO,325.1,7.0,7.0
2021-09-10 16:00:00+00:00,BARCO,139.8,6.9,6.9
2021-09-10 17:00:00+00:00,BARCO,33.5,8.5,8.5
2021-09-10 18:00:00+00:00,BARCO,30.7,9.7,9.7
2021-09-10 19:00:00+00:00,BARCO,8.7,11.0,11.0
2021-09-10 20:00:00+00:00,BARCO,0.0,12.2,12.2
2021-09-10 21:00:00+00:00,BARCO,0.0,12.9,12.9
2021-09-10 22:00:00+00:00,BARCO,0.0,14.9,14.9
2021-09-10 23:00:00+00:00,BARCO,0.0,15.9,15.9
2021-09-11 00:00:00+00:00,BARCO,0.0,19.9,19.9
2021-09-11 01:00:00+00:00,BARCO,0.0,23.4,23.4
2021-09-11 02:00:00+00:00,BARCO,0.0,26.7,26.7
2021-09-11 03:00:00+00:00,BARCO,0.0,30.1,30.0
2021-09-11 04:00:00+00:00,BARCO,0.0,29.6,29.6
2021-09-11 05:00:00+00:00,BARCO,1.5,29.3,29.2
2021-09-11 06:00:00+00:00,BARCO,194.7,32.2,32.1
2021-09-11 07:00:00+00:00,BARCO,45.4,27.5,27.4
2021-09-11 08:00:00+00:00,BARCO,0.0,23.0,23.0
2021-09-11 09:00:00+00:00,BARCO,0.0,17.6,17.6
2021-09-11 10:00:00+00:00,BARCO,0.0,12.9,12.9
2021-09-11 11:00:00+00:00,BARCO,0.0,10.2,10.2
2021-09-11 12:00:00+00:00,BARCO,19.6,10.4,10.4
2021-09-11 13:00:00+00:00,BARCO,32.7,10.2,10.2
2021-09-11 14:00:00+00:00,BARCO,32.0,10.4,10.4
2021-09-11 15:00:00+00:00,BARCO,50.0,10.3,10.3
2021-09-11 16:00:00+00:00,BARCO,34.5,10.1,10.1
2021-09-11 17:00:00+00:00,BARCO,19.1,11.3,11.3
2021-09-11 18:00:00+00:00,BARCO,20.7,11.0,11.0
2021-09-11 19:00:00+00:00,BARCO,18.8,11.9,11.9
2021-09-11 20:00:00+00:00,BARCO,13.9,14.7,14.7
2021-09-11 21:00:00+00:00,BARCO,2.5,16.1,16.1
2021-09-11 22:00:00+00:00,BARCO,1.2,17.5,17.5
2021-09-11 23:00:00+00:00,BARCO,214.2,19.3,19.3
2021-09-12 00:00:00+00:00,BARCO,0.0,19.4,19.4
2021-09-12 01:00:00+00:00,BARCO,0.0,22.5,22.5
