Location,latitudine,longitudine,indirizzo
BARCO,44.860988,11.607838,"Via Rino Maragno 46, Ferrara"
MODENA,44.846107,11.598717,"Via Guglielmo Marconi 19, Ferrara"
PORTA CATENA,44.84884,11.6129,"Piazzale dei Giochi 67, Ferrara"
ARGINONE,44.84227,11.58301,"Via Arginone 206 B, Ferrara"
CORSO ISONZO,44.84151,11.61211,"Corso Isonzo 1, Ferrara"
MOSTI,44.82685,11.609195,"Via Gaetano Recchi 5H, Ferrara"
BOLOGNA,44.808802,11.589487,"Via Bologna 549, Ferrara"
COCOMARO DI CONA,44.812002,11.68375,"Via Comacchio 687, Ferrara"
VILLA FULVIA,44.82365,11.64844,"Via delle Mandriole 29, Ferrara"
PISCINA COMUNALE,44.850239,11.633109,"Via Gramicia 70, Ferrara"
PONTELAGOSCURO,44.879184,11.601144,"Via Antonio Dolcetti 32, Ferrara"
POROTTO,44.84914,11.5508,"Via Ladino 26, Porotto"
DARSENA,44.8346674322525,11.6075581203346,"Via Darsena 57, Ferrara"
CORTI DI MEDORO,44.822194,11.594056,"Via Ludwig Van Beethoven 37, Ferrara"
